ilce,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop
ADALAR,15623,14478,14907,16119,15238
ARNAVUTKÖY,236222,247507,261655,270549,282488
ATAŞEHİR,419368,422513,423372,416318,425094
AVCILAR,425228,430770,435682,435625,448882
BAĞCILAR,757162,751510,748483,734369,745125
BAHÇELİEVLER,602040,598097,598454,594053,611059
BAKIRKÖY,223248,222437,222370,222668,229239
BAŞAKŞEHİR,353311,369810,396729,427835,460259
BAYRAMPAŞA,272374,273148,274197,271073,274735
BEŞİKTAŞ,190033,189356,185447,181074,182649
BEYKOZ,249727,250410,251087,246700,248260
BEYLİKDÜZÜ,279999,297420,314670,331525,352412
BEYOĞLU,242250,238762,236606,230526,233323
BÜYÜKÇEKMECE,231064,237185,243474,247736,254103
ÇATALCA,67329,68935,69057,72966,73718
ÇEKMEKÖY,231818,239611,248859,251937,264508
ESENLER,459983,457231,454569,444561,450344
ESENYURT,742810,795010,846492,891120,954579
EYÜPSULTAN,375409,377650,381114,383909,400513
FATİH,419345,417285,433873,436539,443090
GAZİ OSMANPAŞA,501546,499766,497959,487046,491962
GÜNGÖREN,302066,298509,296967,289331,289441
KADIKÖY,465954,452302,451453,458638,482713
KAĞITHANE,437942,439685,442694,437026,448025
KARTAL,457552,459298,463433,461155,470676
KÜÇÜKÇEKMECE,761064,766609,770393,770317,792821
MALTEPE,487337,490151,497586,497034,513316
PENDİK,681736,691681,698260,693599,711894
SANCAKTEPE,354882,377047,402391,414143,436733
SARIYER,344159,342753,344876,342503,347214
ŞİLE,33477,34241,35131,36516,37692
SİLİVRİ,165084,170523,180524,187621,193680
ŞİŞLİ,274017,272803,274196,274289,279817
SULTANBEYLİ,321730,324709,329985,327798,336021
SULTANGAZİ,521524,525090,528514,523765,534565
TUZLA,234372,242232,252923,255468,267400
ÜMRANİYE,688347,694158,699901,690193,710280
ÜSKÜDAR,540617,535537,533570,529145,531825
ZEYTİNBURNU,289685,287897,287378,284935,293574
